500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
148	18012.05	29.376	3.4	4.5	154.44	-1.134	-0.943	0	0	3.01	5.3	2.8	-1	0	0	-7.81	322.45	
149	18091.65	12.862	0.95	2	25.95	-0.732	1.966	0	0	0.89	1.03	0.15	-1	0	0	-11.59	402.05	
150	18180.75	21.47	2.8	2.7	75.93	-1.294	1.716	0	0	2.69	3.44	2.1	-1	0	0	-6.39	491.15	
151	18193.35	16.273	6.75	0.6	62.68	0.211	1.716	0	0	6.6	2.67	2.2	-1	0	0	-1.97	503.75	
152	18258.55	20.326	1.9	3.7	73.35	-0.12	-0.502	0	0	1.5	2.74	1.1	-1	0	0	-10.82	568.95	
153	18625.60	13.303	1.4	0.6	14.65	0.572	1.184	0	0	1.06	1.12	0.65	-1	0	0	-10.01	321.60	
154	18638.60	13.353	1.65	0.65	14.74	-1.856	2.047	0	0	1.56	0.29	0.15	-1	0	0	-6.87	334.60	
155	18658.30	25.242	2.65	10.9	332.79	-1.294	-0.913	0	0	2.06	11.13	1.35	-1	0	0	-9.8	354.30	
156	18660.40	41.726	1.25	4.85	181.12	-6.622	-0.913	0	0	1.04	4.77	0.5	-1	0	0	-32.05	356.40	
157	18682.10	19.754	4.15	1.65	71.35	-8.849	-0.913	0	0	4	3.95	2.7	-1	0	0	-3.95	378.10	
158	18689.80	20.426	2.6	2.3	60.73	-6.802	-0.913	0	0	1.89	2.78	1.15	-1	0	0	-8.64	385.80	
159	18849.80	32.536	2	6.55	182.32	-1.304	-4.444	0	0	1.82	5.56	1.4	-1	0	0	-14.3	545.80	
160	18938.90	41.114	2.75	3.55	168.35	-2.187	-1.756	0	0	2.56	5.08	2.2	-1	0	0	-12.84	20.50	
161	18921.40	14.357	1.45	0.65	16.17	-0.843	3.953	0	0	1.37	0.68	0.55	-1	0	0	-8.37	3.00	
162	18987.55	26.807	1.7	4.2	104.77	-1.946	2.879	0	0	1.5	4.21	1.4	-1	0	0	-14.29	69.15	
163	19013.80	16.644	1.85	3.7	53.17	1.364	-2.528	0	0	1.51	1.17	1.05	-1	0	0	-8.83	95.40	
164	19023.40	48.729	1.2	3.35	134.56	2.368	-2.528	0	0	0.75	2.77	0.6	-1	0	0	-51.87	105.00	
165	19038.35	35.847	2.3	4.3	161.21	0.672	-2.528	0	0	2.07	4.72	1.7	-1	0	0	-13.85	119.95	
166	19151.90	26.667	1.2	2.05	55.43	0.462	2.328	0	0	1.03	2.57	0.9	-1	0	0	-20.73	233.50	
167	19363.60	22.764	2.05	3.95	86.32	-0.522	2.759	0	0	1.86	3.74	1.2	-1	0	0	-9.79	445.20	
168	19438.45	18.56	2.3	3.55	63.8	-0.853	-3.672	0	0	2.16	1.59	1.45	-1	0	0	-6.89	520.05	
169	19445.00	26.807	2.9	2.7	97.97	-2.719	-3.672	0	0	2.77	4.06	2.05	-1	0	0	-7.74	526.60	
170	19582.40	20.196	0.65	1.75	29.28	-1.244	-0.1	0	0	0.54	1.62	0.4	-1	0	0	-29.66	49.60	
171	19618.25	12.942	0.75	1.25	15.36	1.053	-2.819	0	0	0.61	0.94	0.25	-1	0	0	-17.05	85.45	
172	19728.25	24.741	4.75	5.6	168.85	-0.823	1.575	0	0	4.25	7.7	3.55	-1	0	0	-4.65	195.45	
173	19773.70	17.938	4	2.85	76.79	-2.087	1.194	0	0	3.87	2.9	2.4	-1	0	0	-3.7	240.90	
174	19894.10	14.768	1.6	0.3	14.35	0.06	-1.094	0	0	1	1.17	1	-1	0	0	-11.8	361.30	
175	19982.25	18.33	1	3.35	49.15	-1.826	-0.492	0	0	0.67	1.98	0.65	-1	0	0	-21.81	449.45	
176	20073.35	56.083	3.25	7.75	415.33	-1.796	2.227	0	0	2.13	7.32	2.1	-1	0	0	-21.05	540.55	
