500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
190	124496.60	38.269	1.4	6.55	200.94	-10.681	-1.892	0	0	1.18	5.64	1.05	-1	0	0	-26.04	400.65	
191	125314.30	25.33	1.7	3.55	84.84	-12.573	-2.136	0	0	1.51	4.11	1.4	-1	0	0	-13.39	603.85	
192	125984.50	13.062	2.65	3.45	43.52	-14.404	0.244	0	0	2.32	2.11	1.25	-1	0	0	-4.51	45.25	
193	126125.90	12.39	3.4	4.75	62.12	-10.132	1.587	0	0	3.25	3.98	2.15	-1	0	0	-3.05	186.65	
194	126582.80	16.846	3.4	4.3	77.15	-9.583	1.404	0	0	2.7	4.13	2.1	-1	0	0	-4.99	29.20	
195	127823.50	14.282	2.45	4.5	58.63	-10.01	0.183	0	0	2.35	4.19	1.4	-1	0	0	-4.86	41.15	
196	128611.40	17.212	3.85	5	110.39	-11.414	0.549	0	0	3.7	7.2	3.25	-1	0	0	-3.72	214.55	
197	129146.70	14.343	2.65	2.15	49.48	-13.184	-0.732	0	0	2.55	4.22	2.4	-1	0	0	-4.49	135.50	
198	129610.30	10.742	2.6	4.35	52.59	-9.888	-0.977	0	0	2.53	3.66	2.05	-1	0	0	-3.4	599.05	
199	129478.40	8.423	3.45	1.85	27.04	-11.902	-0.793	0	0	2.91	1.13	0.15	-1	0	0	-2.32	467.15	
200	129712.00	15.503	3.35	4.7	70.03	-11.353	2.563	0	0	2.92	1.36	1.05	-1	0	0	-4.25	86.40	
201	129696.00	9.399	1.8	1.4	21.3	-10.681	0.366	0	0	1.66	2.78	1.45	-1	0	0	-4.52	70.45	
202	130001.80	37.842	1.95	5.55	187.05	-12.634	0.732	0	0	1.66	5.58	1.35	-1	0	0	-18.21	376.15	
203	130078.90	12.146	1.55	3.25	36.78	-10.803	2.563	0	0	1.43	0.58	0.45	-1	0	0	-6.79	453.25	
204	130315.50	21.362	1.9	5.25	98.79	-10.376	-1.221	0	0	1.72	3.79	1.2	-1	0	0	-9.93	75.45	
205	130323.60	13.123	1.7	3.95	48.52	-13.245	-1.221	0	0	1.49	3.73	0.8	-1	0	0	-7.03	83.65	
206	130471.50	9.888	2.35	1.5	23.58	-10.498	-0.61	0	0	2.26	1.46	1.35	-1	0	0	-3.5	231.55	
207	130777.50	14.954	1.45	4.15	50.93	-10.254	1.709	0	0	1.36	1.52	1.15	-1	0	0	-8.8	537.50	
208	131277.20	19.959	1.1	4.8	76.89	-9.583	0.61	0	0	0.97	3.4	0.55	-1	0	0	-16.48	422.75	
